ID,Recency,Recency_Level,Frequency,Frequency_Level,Monetary_Value,Monetary_Value_Level,Observation_Period,Churn
556,42,Low,35,Low,5414.05,Medium,965,0
557,49,Low,35,Low,12981.84,High,2061,0
558,33,Low,31,Low,2759.08,Medium,2304,0
559,35,Low,19,Low,2278.45,Medium,2222,0
560,54,Medium,46,Low,11007.82,High,2318,0
561,32,Low,37,Low,14177.91,High,2372,0
562,33,Low,37,Low,5784.22,Medium,2312,0
563,96,Medium,27,Low,3425.91,Medium,2042,0
564,36,Low,36,Low,3752.13,Medium,1580,0
565,175,High,19,Low,398.18,Low,1,1
566,56,Medium,27,Low,6692.05,Medium,1513,0
567,45,Low,36,Low,12533.34,High,2332,0
568,33,Low,38,Low,4572.67,Medium,2225,0
569,50,Low,36,Low,3078.48,Medium,2331,0
570,173,High,32,Low,2217.12,Medium,1523,0
571,58,Medium,23,Low,5363.35,Medium,2240,0
572,69,Medium,17,Low,2556.13,Medium,116,0
573,33,Low,41,Low,12123.71,High,2374,0
574,61,Medium,53,Medium,11155.59,High,2277,0
575,46,Low,27,Low,4404.81,Medium,2291,0
576,64,Medium,45,Low,6852.08,Medium,2238,0
577,305,High,15,Low,242,Low,1,1
578,33,Low,32,Low,3680.28,Medium,2014,1
579,47,Low,13,Low,1108.04,Medium,1,0
580,189,High,24,Low,3915.52,Medium,891,1
581,35,Low,64,Medium,13278.32,High,2379,0
582,235,High,17,Low,303.4,Low,1,1
583,38,Low,81,Medium,50053.76,High,2005,0
584,212,High,27,Low,3095.38,Medium,896,1
585,51,Medium,31,Low,3413.96,Medium,2238,0
586,98,Medium,20,Low,1927.69,Medium,1916,0
587,97,Medium,40,Low,7859.34,Medium,2069,0
588,84,Medium,29,Low,2874.94,Medium,1187,1
589,43,Low,45,Low,10203.94,High,2317,0
590,163,High,28,Low,38860.26,High,1678,0
591,51,Medium,20,Low,1091.79,Medium,596,0
592,34,Low,40,Low,8623.96,Medium,2373,0
593,31,Low,14,Low,810.96,Low,1,0
594,150,High,26,Low,2660.56,Medium,1797,0
595,33,Low,29,Low,3628.77,Medium,901,0
596,57,Medium,48,Low,19049.66,High,2266,1
597,42,Low,20,Low,1203.04,Medium,1176,0
598,32,Low,56,Medium,16288.82,High,2405,0
599,44,Low,96,Medium,65517.79,High,2354,0
600,44,Low,36,Low,3756.14,Medium,2247,0
601,44,Low,20,Low,469.11,Low,485,0
602,384,High,14,Low,317.57,Low,1,1
603,145,High,22,Low,1414.77,Medium,1745,0
604,41,Low,68,Medium,18765.98,High,2345,0
605,395,High,15,Low,972.27,Low,532,1
606,34,Low,27,Low,6294.84,Medium,1755,0
607,219,High,32,Low,4148.45,Medium,1235,1
608,104,High,24,Low,2761.29,Medium,1518,1
609,83,Medium,21,Low,311.94,Low,1,1
610,39,Low,84,Medium,36160.79,High,2379,0
611,42,Low,34,Low,4862.32,Medium,1930,0
612,65,Medium,40,Low,4792.89,Medium,2233,0
613,121,High,21,Low,1657.48,Medium,82,1
614,168,High,28,Low,2601.23,Medium,1725,0
615,48,Low,25,Low,4850.14,Medium,2215,0
616,37,Low,56,Medium,23482.59,High,1481,0
617,57,Medium,30,Low,9728.28,Medium,1207,0
618,211,High,29,Low,2540.24,Medium,1494,1
619,122,High,26,Low,1054.69,Medium,1709,0
620,66,Medium,29,Low,1820.41,Medium,1486,1
621,127,High,18,Low,3719.66,Medium,1831,1
622,45,Low,69,Medium,26793.64,High,2362,0
623,47,Low,39,Low,3779.16,Medium,2302,0
624,32,Low,62,Medium,10916.34,High,2381,0
625,49,Low,13,Low,1230.91,Medium,1336,1
626,285,High,16,Low,1290.96,Medium,1146,0
627,32,Low,49,Low,8838.53,Medium,2419,0
628,38,Low,51,Medium,23709.72,High,2330,0
629,45,Low,23,Low,746.71,Low,99,0
630,167,High,41,Low,6414.75,Medium,1441,0
631,119,High,25,Low,3741.94,Medium,1560,1
632,42,Low,36,Low,4621.1,Medium,2367,0
633,128,High,43,Low,7021.71,Medium,1953,0
634,35,Low,21,Low,2939,Medium,1137,0
635,381,High,13,Low,1130.4,Medium,1,1
636,38,Low,31,Low,9116.42,Medium,951,0
637,33,Low,46,Low,10068.47,High,1407,0
638,145,High,25,Low,1443.99,Medium,1833,1
639,44,Low,20,Low,1986,Medium,505,0
640,39,Low,32,Low,2612.42,Medium,1769,0
641,177,High,42,Low,8530.39,Medium,1694,1
642,36,Low,45,Low,13965.46,High,2363,0
643,39,Low,79,Medium,28202.5,High,2371,0
644,102,High,36,Low,5520.68,Medium,1966,0
645,40,Low,51,Medium,37339.74,High,1994,0
646,33,Low,57,Medium,48347.53,High,2407,0
647,286,High,23,Low,3667.54,Medium,1159,1
648,141,High,18,Low,1778.77,Medium,942,0
649,31,Low,44,Low,7813.58,Medium,2413,0
650,31,Low,31,Low,4557.13,Medium,2410,0
651,32,Low,274,High,8507.584,Medium,2419,0
652,31,Low,41,Low,3528.16,Medium,2418,0
653,48,Low,52,Medium,3629.87,Medium,2309,0
654,64,Medium,47,Low,15348.56,High,2244,0
655,66,Medium,32,Low,13596.54,High,2240,0
656,36,Low,54,Medium,21124.99,High,2380,0
657,99,Medium,29,Low,4290.61,Medium,2046,0
658,34,Low,65,Medium,18376.19,High,2399,0
659,64,Medium,15,Low,718.33,Low,722,1
660,43,Low,36,Low,18409.37,High,2224,0
661,87,Medium,31,Low,4547.41,Medium,1903,0
662,43,Low,45,Low,10392.17,High,1464,0
663,49,Low,71,Medium,13830.3,High,2329,0
664,188,High,12,Low,327.18,Low,1,1
665,318,High,26,Low,4916.06,Medium,978,1
666,492,High,20,Low,191.64,Low,1,1
667,116,High,24,Low,1692.32,Medium,1927,1
668,141,High,29,Low,3896.55,Medium,1828,0
669,35,Low,65,Medium,13043.64,High,2379,0
670,37,Low,60,Medium,22682.1,High,2373,0
671,145,High,23,Low,814.6,Low,204,0
672,389,High,20,Low,1775.61,Medium,541,1
673,121,High,39,Low,5552.59,Medium,1972,1
674,38,Low,19,Low,3984.36,Medium,390,0
675,43,Low,36,Low,2475.86,Medium,2358,0
676,33,Low,21,Low,882.65,Low,151,0
677,51,Medium,24,Low,2638.08,Medium,1497,0
678,35,Low,37,Low,8951.1,Medium,2413,0
679,61,Medium,43,Low,13378.78,High,2273,0
680,35,Low,78,Medium,24137.62,High,2374,0
681,33,Low,21,Low,222.89,Low,1,0
682,34,Low,15,Low,1350.74,Medium,109,0
683,49,Low,18,Low,1834.39,Medium,109,0
684,39,Low,22,Low,2795.82,Medium,1057,0
685,56,Medium,36,Low,5183.96,Medium,1205,0
686,48,Low,52,Medium,6926.5,Medium,2341,0
687,31,Low,27,Low,5188.34,Medium,1394,0
688,100,Medium,26,Low,2663.65,Medium,1876,1
689,220,High,17,Low,934.96,Low,1321,1
690,172,High,25,Low,1739.06,Medium,1692,0
691,44,Low,18,Low,622.42,Low,37,0
692,58,Medium,44,Low,16923.04,High,2254,0
693,45,Low,44,Low,3476.56,Medium,2279,0
694,36,Low,84,Medium,31559.35,High,2392,0
695,38,Low,31,Low,2708.63,Medium,1944,1
696,429,High,22,Low,817.62,Low,181,1
697,50,Low,42,Low,8705.83,Medium,1366,0
698,314,High,21,Low,1393.43,Medium,997,0
699,77,Medium,22,Low,1591.47,Medium,2186,0
700,35,Low,44,Low,13550.26,High,1548,0
701,59,Medium,29,Low,4525.91,Medium,1074,0
702,50,Low,37,Low,6586.38,Medium,1899,0
703,55,Medium,28,Low,5393.36,Medium,2211,0
704,43,Low,41,Low,9419.96,Medium,1511,0
705,47,Low,47,Low,8557.97,Medium,2274,0
706,49,Low,60,Medium,26944.99,High,2337,0
707,38,Low,111,High,72240.86,High,2391,0
708,157,High,33,Low,3593.71,Medium,1773,0
709,172,High,12,Low,280.64,Low,1,1
710,56,Medium,21,Low,7711.49,Medium,1573,1
711,191,High,17,Low,1644.62,Medium,972,0
712,35,Low,30,Low,1954.08,Medium,1182,0
713,42,Low,49,Low,15421.46,High,1219,0
714,190,High,17,Low,934.49,Low,740,1
715,32,Low,35,Low,6425.65,Medium,1943,0
716,31,Low,28,Low,2962.58,Medium,2312,0
717,308,High,49,Low,9490.34,Medium,1018,1
718,493,High,16,Low,460.02,Low,1,1
719,33,Low,17,Low,2381.48,Medium,260,0
720,36,Low,58,Medium,11298.29,High,2403,0
721,31,Low,48,Low,7881.56,Medium,2399,0
722,86,Medium,28,Low,5512.42,Medium,968,0
723,388,High,25,Low,1666.69,Medium,593,1
724,73,Medium,22,Low,785.94,Low,85,0
725,144,High,18,Low,1061.16,Medium,334,0
726,44,Low,28,Low,1914.24,Medium,2161,0
727,53,Medium,52,Medium,4043.12,Medium,2322,0
728,376,High,18,Low,1786.05,Medium,648,1
729,43,Low,40,Low,6673.08,Medium,2333,0
730,34,Low,47,Low,6621.39,Medium,2400,0
731,64,Medium,17,Low,1719.05,Medium,544,0
732,130,High,28,Low,3445.38,Medium,1769,0
733,149,High,26,Low,3012.6,Medium,1838,0
734,261,High,12,Low,305.29,Low,1,1
735,42,Low,41,Low,5462.99,Medium,2365,0
736,307,High,21,Low,1307.73,Medium,947,1
737,88,Medium,18,Low,867.24,Low,169,0
738,71,Medium,39,Low,13861.27,High,1338,1
739,149,High,28,Low,1675.67,Medium,1548,0
740,63,Medium,56,Medium,28126.58,High,2252,0
741,31,Low,115,High,5417.6555,Medium,2339,0
742,66,Medium,44,Low,32819.46,High,2187,0
743,31,Low,35,Low,6121.95,Medium,2330,0
744,40,Low,52,Medium,15916.64,High,2339,0
745,103,High,42,Low,4279.98,Medium,1910,0
746,205,High,19,Low,2483.91,Medium,1482,0
747,67,Medium,18,Low,1867.52,Medium,264,0
748,33,Low,45,Low,5169.63,Medium,2099,0
749,45,Low,34,Low,4239.16,Medium,2189,0
750,48,Low,29,Low,1731.4,Medium,938,0
751,306,High,50,Low,9967.76,Medium,915,1
752,48,Low,23,Low,14358.99,High,1928,0
753,109,High,42,Low,12868.65,High,1825,0
754,184,High,15,Low,172.56,Low,125,1
755,406,High,19,Low,867.46,Low,434,1
756,38,Low,26,Low,3274.76,Medium,203,0
757,44,Low,39,Low,5386.81,Medium,1950,0
758,164,High,30,Low,9058.15,Medium,1716,0
759,42,Low,89,Medium,13209.83,High,2356,0
760,70,Medium,24,Low,3410.66,Medium,1051,0
761,32,Low,19,Low,913.27,Low,605,0
762,160,High,16,Low,178,Low,1,1
763,63,Medium,25,Low,1371.19,Medium,192,0
764,295,High,19,Low,2323.82,Medium,1047,1
765,44,Low,19,Low,2965.42,Medium,589,1
766,41,Low,24,Low,2843.56,Medium,1996,0
767,154,High,25,Low,1554.02,Medium,1511,0
768,60,Medium,39,Low,4669.23,Medium,1504,0
769,198,High,23,Low,1498.15,Medium,644,0
770,376,High,19,Low,601.19,Low,306,1
771,39,Low,54,Medium,13869.29,High,2383,0
772,34,Low,24,Low,1926.87,Medium,471,0
773,156,High,32,Low,5959.16,Medium,1746,1
774,45,Low,24,Low,4026.75,Medium,2333,0
775,33,Low,62,Medium,25650.61,High,1998,0
776,52,Medium,17,Low,438.48,Low,1,1
777,360,High,22,Low,1176.18,Medium,641,1
778,36,Low,50,Low,6570.41,Medium,2399,0
779,42,Low,39,Low,3454.74,Medium,2263,0
780,290,High,20,Low,1020.84,Medium,821,1
781,32,Low,47,Low,6678.59,Medium,2406,0
782,39,Low,62,Medium,21661.95,High,2350,0
783,76,Medium,16,Low,848.44,Low,823,0
784,44,Low,44,Low,4481.28,Medium,2341,0
785,37,Low,53,Medium,6522.27,Medium,2408,0
786,96,Medium,23,Low,2645.38,Medium,2030,0
787,40,Low,42,Low,11336.26,High,2353,0
788,35,Low,60,Medium,14433.38,High,2372,0
789,244,High,30,Low,5628.84,Medium,1336,1
790,35,Low,95,Medium,36113.43,High,2334,0
791,60,Medium,36,Low,2904.46,Medium,2200,1
792,33,Low,143,High,62663.64,High,2403,0
793,96,Medium,25,Low,2433.78,Medium,1679,0
794,31,Low,25,Low,1871.27,Medium,926,0
795,94,Medium,27,Low,2256.06,Medium,2080,0
796,62,Medium,23,Low,2749.96,Medium,2228,1
797,90,Medium,25,Low,7282.2,Medium,1811,0
798,42,Low,22,Low,4306.5,Medium,659,0
799,342,High,23,Low,1197.94,Medium,657,1
800,34,Low,43,Low,21737.41,High,1300,0
801,62,Medium,31,Low,4231.44,Medium,2137,1
802,35,Low,80,Medium,59379.52,High,978,0
803,46,Low,33,Low,2392.08,Medium,2259,0
804,179,High,28,Low,2607.57,Medium,1443,0
805,50,Low,52,Medium,8776.68,Medium,2329,0
806,202,High,16,Low,950.14,Low,395,1
807,193,High,21,Low,2540.64,Medium,1211,0
808,56,Medium,22,Low,2980.04,Medium,730,0
809,50,Low,59,Medium,8836.73,Medium,2336,0
810,216,High,21,Low,1099.56,Medium,83,1
811,139,High,14,Low,1133.59,Medium,48,0
812,38,Low,24,Low,1990.45,Medium,2061,0
813,115,High,12,Low,308.38,Low,1,1
814,35,Low,50,Low,40243.17,High,2408,0
815,49,Low,28,Low,1827.31,Medium,2304,0
816,162,High,23,Low,1004.06,Medium,1753,1
817,220,High,26,Low,932.76,Low,1247,1
818,384,High,61,Medium,9589.6,Medium,653,1
819,44,Low,40,Low,5564.12,Medium,2187,0
820,47,Low,22,Low,4599.67,Medium,1181,0
821,41,Low,57,Medium,26335.55,High,2336,0
822,41,Low,40,Low,8492.11,Medium,2265,0
823,60,Medium,19,Low,378,Low,1,1
824,47,Low,48,Low,5520.21,Medium,2358,0
825,298,High,18,Low,1158.06,Medium,1085,1
826,32,Low,31,Low,5043.96,Medium,2300,0
827,39,Low,36,Low,7603.08,Medium,2323,0
828,39,Low,34,Low,4517.51,Medium,1328,0
829,43,Low,27,Low,3269.77,Medium,1844,0
830,35,Low,53,Medium,10954.46,High,1623,0
831,50,Low,23,Low,5442.56,Medium,2231,0
832,41,Low,19,Low,4620.48,Medium,111,0
833,198,High,23,Low,124,Low,679,1
834,33,Low,38,Low,5812.4,Medium,2373,0
835,78,Medium,28,Low,4611.16,Medium,2161,0
836,34,Low,27,Low,3560.57,Medium,1460,0
837,33,Low,61,Medium,21641.37,High,2424,0
838,304,High,31,Low,4432.29,Medium,1054,1
839,32,Low,38,Low,3668.73,Medium,1427,0
840,71,Medium,49,Low,13324.59,High,1805,0
841,45,Low,38,Low,6569.59,Medium,1441,0
842,60,Medium,28,Low,2041.75,Medium,1877,0
843,34,Low,32,Low,5225.68,Medium,667,0
844,256,High,21,Low,1180.08,Medium,1011,1
845,67,Medium,19,Low,694.57,Low,1470,0
846,406,High,16,Low,969.39,Low,257,1
847,34,Low,48,Low,4072.77,Medium,2352,0
848,48,Low,68,Medium,22213.55,High,2340,0
849,47,Low,43,Low,12723.05,High,1360,0
850,146,High,30,Low,5105.31,Medium,1792,0
851,264,High,33,Low,8785.16,Medium,1239,1
852,149,High,23,Low,1854.79,Medium,284,0
853,147,High,14,Low,914.83,Low,202,1
854,51,Medium,35,Low,6743.91,Medium,2315,0
855,141,High,33,Low,10116.09,High,1849,0
856,149,High,25,Low,1907.88,Medium,1106,0
857,263,High,17,Low,550.04,Low,1,1
858,32,Low,44,Low,19413.8,High,913,0
859,295,High,42,Low,46039.56,High,1024,1
860,48,Low,33,Low,8210.57,Medium,2204,0
861,32,Low,35,Low,5894.29,Medium,2431,0
862,58,Medium,50,Low,20637.99,High,1240,0
863,41,Low,22,Low,6486.66,Medium,789,0
864,33,Low,52,Medium,6905.23,Medium,2403,0
865,61,Medium,33,Low,13465.27,High,2181,0
866,31,Low,53,Medium,12729.36,High,2408,0
867,162,High,15,Low,430.85,Low,1,1
868,40,Low,21,Low,652.79,Low,79,0
869,49,Low,31,Low,5096.6,Medium,1332,0
870,98,Medium,25,Low,4763.34,Medium,1555,0
871,194,High,20,Low,2970.24,Medium,1604,0
872,48,Low,48,Low,6240.86,Medium,2319,0
873,196,High,18,Low,945.7,Low,1,1
874,42,Low,36,Low,8360.81,Medium,2098,0
875,240,High,25,Low,1856.77,Medium,1322,0
876,38,Low,62,Medium,12806.79,High,2398,0
877,41,Low,38,Low,4921.8,Medium,2356,0
878,59,Medium,52,Medium,19393.42,High,2119,0
879,53,Medium,29,Low,3689.87,Medium,1888,0
880,111,High,28,Low,2559.21,Medium,1977,0
881,68,Medium,20,Low,324.08,Low,1,0
882,31,Low,46,Low,14954.75,High,1518,0
883,56,Medium,21,Low,4197,Medium,958,0
884,166,High,21,Low,611.91,Low,240,1
885,43,Low,47,Low,9011.46,Medium,2343,0
886,298,High,16,Low,195.9,Low,1,1
887,76,Medium,15,Low,840.38,Low,1784,1
888,45,Low,52,Medium,9442.27,Medium,2227,0
889,41,Low,44,Low,8088.82,Medium,2387,0
890,47,Low,53,Medium,11835.14,High,2341,0
891,63,Medium,41,Low,6157.88,Medium,2126,0
892,96,Medium,19,Low,2801.03,Medium,1754,0
893,41,Low,28,Low,2504.63,Medium,872,0
894,47,Low,45,Low,24421.92,High,2326,0
895,130,High,24,Low,2016.86,Medium,1934,0
896,35,Low,40,Low,6093.25,Medium,2348,0
897,66,Medium,39,Low,7593.59,Medium,2244,0
898,46,Low,27,Low,2466.42,Medium,2337,0
899,64,Medium,22,Low,642.75,Low,263,0
900,32,Low,87,Medium,57388.53,High,2386,0
901,67,Medium,27,Low,3528.3,Medium,923,0
902,125,High,21,Low,1080.28,Medium,1196,0
903,46,Low,19,Low,1416.9,Medium,852,0
904,33,Low,134,High,56549.5,High,1252,0
905,165,High,43,Low,7816.19,Medium,1730,1
906,142,High,23,Low,2570.08,Medium,1703,0
907,49,Low,18,Low,723.13,Low,638,0
908,303,High,19,Low,524,Low,1,1
909,108,High,30,Low,3123.58,Medium,2032,0
910,45,Low,61,Medium,10908.27,High,2361,0
911,118,High,46,Low,9836.77,Medium,1989,1
912,51,Medium,21,Low,3476.98,Medium,2246,0
913,153,High,23,Low,1989.87,Medium,1716,0
914,41,Low,15,Low,489.54,Low,100,0
915,70,Medium,44,Low,13633.23,High,2160,0
916,42,Low,26,Low,3801.16,Medium,919,0
917,99,Medium,22,Low,1286.86,Medium,34,0
918,60,Medium,61,Medium,19411.6,High,2281,0
919,34,Low,29,Low,3918.52,Medium,2342,0
920,234,High,40,Low,6367.35,Medium,1378,1
921,38,Low,54,Medium,9444.85,Medium,2265,0
922,329,High,31,Low,2825.76,Medium,932,1
923,33,Low,53,Medium,24595.61,High,1318,0
924,32,Low,53,Medium,7564.81,Medium,2394,0
925,41,Low,84,Medium,39220.3,High,2341,0
926,39,Low,35,Low,4673.65,Medium,2319,0
927,85,Medium,38,Low,7103.87,Medium,2007,0
928,47,Low,53,Medium,9158,Medium,2317,0
929,65,Medium,57,Medium,10154.85,High,2246,0
930,41,Low,45,Low,9992.03,Medium,2364,0
931,60,Medium,44,Low,4601.94,Medium,2257,0
932,34,Low,25,Low,2985.72,Medium,340,0
933,55,Medium,27,Low,3656.92,Medium,2293,0
934,61,Medium,39,Low,7594.18,Medium,1998,0
935,33,Low,44,Low,32895.03,High,2399,0
936,62,Medium,41,Low,9125.61,Medium,2280,0
937,53,Medium,16,Low,1638.98,Medium,428,0
938,33,Low,62,Medium,20354.57,High,2387,0
939,58,Medium,20,Low,1728.04,Medium,749,0
940,393,High,21,Low,406.19,Low,1,1
941,57,Medium,50,Low,13226.87,High,2251,0
942,46,Low,28,Low,2674.82,Medium,863,0
943,45,Low,39,Low,3499.28,Medium,2336,0
944,31,Low,30,Low,7046.39,Medium,2242,0
945,156,High,18,Low,3906.26,Medium,1707,0
946,36,Low,58,Medium,9535.94,Medium,2390,0
947,47,Low,32,Low,7633.11,Medium,1320,0
948,420,High,20,Low,247,Low,1,1
949,50,Low,31,Low,3218.6,Medium,2237,0
950,144,High,28,Low,8814.54,Medium,1846,0
951,37,Low,29,Low,3412.41,Medium,755,0
952,35,Low,79,Medium,31916.74,High,2392,0
953,53,Medium,16,Low,1136.23,Medium,1,0
954,52,Medium,21,Low,3600.12,Medium,2127,0
955,37,Low,68,Medium,10168.31,High,2211,0
956,105,High,19,Low,2257.84,Medium,1,1
957,41,Low,35,Low,5300.85,Medium,2346,0
958,257,High,26,Low,3121.78,Medium,975,1
959,51,Medium,24,Low,2592.69,Medium,945,0
960,277,High,14,Low,1780.93,Medium,658,1
961,32,Low,32,Low,5121.16,Medium,1633,0
962,37,Low,58,Medium,16038.3,High,1628,0
963,76,Medium,41,Low,6713.35,Medium,2157,0
964,67,Medium,23,Low,2406.27,Medium,1129,0
965,33,Low,59,Medium,9388.88,Medium,2376,0
966,99,Medium,16,Low,1975.58,Medium,223,1
967,209,High,25,Low,2636.29,Medium,1414,1
968,393,High,26,Low,1902.04,Medium,586,1
969,58,Medium,22,Low,2432.14,Medium,1872,0
970,33,Low,42,Low,5062.33,Medium,2406,0
971,50,Low,37,Low,4050.89,Medium,2057,0
972,35,Low,17,Low,637.06,Low,878,0
973,277,High,25,Low,1146.69,Medium,1065,1
974,33,Low,26,Low,2665.24,Medium,402,0
975,36,Low,46,Low,7845.05,Medium,2384,0
976,188,High,39,Low,8074.73,Medium,1627,1
977,77,Medium,41,Low,5783.96,Medium,2177,0
978,33,Low,32,Low,3606.62,Medium,2426,0
979,64,Medium,43,Low,5617.45,Medium,1580,0
980,254,High,18,Low,2868.71,Medium,201,1
981,31,Low,18,Low,2073.23,Medium,162,0
982,40,Low,47,Low,6048.3,Medium,1012,0
983,60,Medium,28,Low,2669.17,Medium,2203,0
984,66,Medium,39,Low,4595,Medium,1969,0
985,54,Medium,28,Low,3768.8,Medium,1860,0
986,31,Low,27,Low,4023.71,Medium,2357,0
987,46,Low,28,Low,83589.82,High,2340,0
988,35,Low,61,Medium,9176.88,Medium,1823,0
989,45,Low,19,Low,545,Low,1,0
990,34,Low,38,Low,4694.35,Medium,1585,0
991,108,High,34,Low,3013.96,Medium,2044,0
992,46,Low,39,Low,13044.39,High,2337,0
993,201,High,13,Low,771.53,Low,1,1
994,92,Medium,34,Low,4388.17,Medium,1924,1
995,336,High,17,Low,751.79,Low,28,1
996,37,Low,50,Low,5274.56,Medium,2332,0
997,36,Low,42,Low,10661.79,High,2240,0
998,294,High,29,Low,3139.39,Medium,1074,1
999,36,Low,42,Low,6826.62,Medium,2361,0
1000,32,Low,20,Low,712.73,Low,662,0
1001,106,High,23,Low,1566.8,Medium,1978,1
1002,34,Low,36,Low,10856.86,High,2297,0
1003,37,Low,58,Medium,7414.19,Medium,2238,0
1004,97,Medium,21,Low,472.26,Low,1,0
1005,34,Low,94,Medium,99011.17,High,2394,0
1006,58,Medium,38,Low,27142.92,High,2199,0
1007,138,High,19,Low,4110.26,Medium,1877,0
1008,35,Low,43,Low,13373.31,High,1935,0
1009,33,Low,27,Low,7191.8,Medium,577,0
1010,100,Medium,33,Low,3421.89,Medium,1858,0
1011,33,Low,73,Medium,51050.61,High,2427,0
1012,38,Low,32,Low,2536.59,Medium,1066,0
1013,158,High,20,Low,1350.91,Medium,476,0
1014,38,Low,41,Low,18995.6,High,2360,0
1015,67,Medium,22,Low,1864.48,Medium,2216,0
1016,173,High,24,Low,3137.85,Medium,1724,0
1017,41,Low,32,Low,4832.24,Medium,2339,0
1018,432,High,17,Low,209.54,Low,1,1
1019,313,High,15,Low,292.19,Low,1,1
1020,58,Medium,33,Low,7365.53,Medium,2279,0
1021,39,Low,89,Medium,21556.28,High,2378,0
1022,483,High,20,Low,349.74,Low,151,1
1023,34,Low,19,Low,1535.88,Medium,849,0
1024,43,Low,39,Low,7201.05,Medium,2320,0
1025,48,Low,22,Low,1363.2,Medium,649,0
1026,432,High,13,Low,579.53,Low,1,1
1027,50,Low,22,Low,2172.36,Medium,852,0
1028,113,High,47,Low,33496.98,High,1717,0
1029,33,Low,51,Medium,7308.11,Medium,2388,0
1030,37,Low,46,Low,4918.37,Medium,2368,0
1031,73,Medium,29,Low,5374.91,Medium,1988,0
1032,73,Medium,38,Low,4856.11,Medium,2070,0
1033,293,High,21,Low,455.44,Low,1,1
1034,37,Low,57,Medium,13900.57,High,2377,0
1035,47,Low,16,Low,4353.31,Medium,1,0
1036,56,Medium,41,Low,5875.47,Medium,2297,0
1037,63,Medium,27,Low,3781.86,Medium,2023,0
1038,55,Medium,25,Low,3452.25,Medium,2127,0
1039,41,Low,31,Low,5050.65,Medium,2327,0
1040,52,Medium,22,Low,768.13,Low,480,0
1041,299,High,24,Low,1480.38,Medium,1038,1
1042,145,High,14,Low,454.95,Low,1002,1
1043,37,Low,28,Low,4541.14,Medium,1352,0
1044,32,Low,56,Medium,16099.86,High,2420,0
1045,34,Low,19,Low,4197.63,Medium,521,0
1046,421,High,22,Low,1721.03,Medium,426,1
1047,41,Low,30,Low,4508.24,Medium,2303,0
1048,54,Medium,50,Low,8621.82,Medium,2265,0
1049,52,Medium,25,Low,1698.94,Medium,1392,0
1050,80,Medium,79,Medium,75453.24,High,2164,1
1051,49,Low,17,Low,573.32,Low,49,0
1052,207,High,18,Low,398.14,Low,1,1
1053,90,Medium,34,Low,4871.17,Medium,1499,1
1054,43,Low,21,Low,1291,Medium,1898,0
1055,178,High,26,Low,1695.2,Medium,1648,0
1056,31,Low,42,Low,22553.07,High,2421,0
1057,52,Medium,17,Low,1067.6,Medium,1644,0
1058,143,High,45,Low,10013.44,High,1875,0
1059,32,Low,31,Low,3246.86,Medium,2361,1
1060,49,Low,31,Low,3947.19,Medium,826,0
1061,37,Low,36,Low,4992.42,Medium,2320,0
1062,101,High,15,Low,703.51,Low,576,1
1063,33,Low,63,Medium,18782.54,High,2402,0
1064,34,Low,51,Medium,7436.41,Medium,2413,0
1065,74,Medium,39,Low,2318.35,Medium,2175,0
1066,306,High,16,Low,1521.4,Medium,1,1
1067,182,High,33,Low,9937.37,Medium,1175,1
1068,244,High,15,Low,559.3,Low,92,0
1069,207,High,31,Low,1589.05,Medium,1458,1
1070,32,Low,53,Medium,11022.48,High,2412,0
1071,46,Low,75,Medium,45551.66,High,2323,0
1072,67,Medium,49,Low,9772.87,Medium,2240,0
1073,94,Medium,18,Low,773.28,Low,149,1
1074,131,High,24,Low,1358.87,Medium,1935,1
1075,31,Low,24,Low,12099.1,High,1236,0
1076,31,Low,68,Medium,50925.31,High,2412,0
1077,33,Low,48,Low,6717.25,Medium,2320,0
1078,59,Medium,31,Low,3479.81,Medium,2284,1
1079,46,Low,37,Low,4225.76,Medium,2238,0
1080,67,Medium,26,Low,2250.65,Medium,2195,0
1081,71,Medium,47,Low,9066.13,Medium,2190,0
1082,43,Low,32,Low,4666.78,Medium,1481,0
1083,50,Low,73,Medium,47514.66,High,2337,0
1084,131,High,37,Low,6501.25,Medium,1721,0
1085,38,Low,49,Low,8670.11,Medium,2387,0
1086,33,Low,86,Medium,32896.12,High,2400,0
1087,204,High,24,Low,2227.53,Medium,299,1
1088,42,Low,28,Low,2278.4,Medium,2310,0
1089,103,High,16,Low,569.81,Low,311,0
1090,96,Medium,28,Low,2129.2,Medium,1890,0
1091,375,High,21,Low,3346.75,Medium,703,1
1092,372,High,15,Low,357.84,Low,481,1
1093,100,Medium,35,Low,3108.95,Medium,2007,0
1094,115,High,23,Low,3803.89,Medium,851,0
1095,318,High,14,Low,671.64,Low,1,1
1096,121,High,24,Low,3467.09,Medium,1800,0
1097,32,Low,14,Low,986.95,Low,1,0
1098,500,High,19,Low,441.23,Low,1,1
1099,68,Medium,23,Low,844.77,Low,872,0
1100,31,Low,31,Low,4944.43,Medium,238,0
1101,43,Low,76,Medium,47735.36,High,2377,0
1102,45,Low,23,Low,1529.91,Medium,882,0
1103,87,Medium,17,Low,1215.59,Medium,56,0
1104,73,Medium,34,Low,4111.74,Medium,2142,0
1105,77,Medium,33,Low,3667.75,Medium,1935,0
1106,66,Medium,44,Low,11606.12,High,2149,0
1107,306,High,21,Low,3894.55,Medium,1040,0
